dataset,angle_deg,thickness_um,rmse,affine_scale,affine_offset
SiC_15deg,15.0,7.3,0.003451292585123374,0.996920273847051,0.004122884002665611
joint,,7.3,0.0038131414946241484,,
SiC_10deg,10.0,7.305,0.004093130705676412,0.862714939110261,0.02037928314397275
SiC_15deg,15.0,7.305,0.0033613881030861562,1.001400436464336,0.0033077979820046455
joint,,7.305,0.003727259404381284,,
SiC_10deg,10.0,7.31,0.004009735791859671,0.8682908920979859,0.019367029380335188
SiC_15deg,15.0,7.31,0.0032714738862475523,1.0058113758107923,0.002505237960713169
joint,,7.31,0.0036406048390536117,,
SiC_10deg,10.0,7.315,0.003924833133770928,0.8738653828272358,0.01835505965504164
SiC_15deg,15.0,7.315,0.0031817228849867663,1.0101478956932513,0.001716152418530792
joint,,7.315,0.0035532780093788475,,
SiC_10deg,10.0,7.32,0.0038384541778460173,0.8794322260053625,0.01734449825004064
SiC_15deg,15.0,7.32,0.00309232678835213,1.0144047771975635,0.0009414937726744399
joint,,7.32,0.0034653904830990734,,
SiC_10deg,10.0,7.325,0.0037506346926019815,0.8849850950313929,0.016336494815574004
SiC_15deg,15.0,7.325,0.0030034981757392862,1.018576783887695,0.0001822174018688283
joint,,7.325,0.003377066434170634,,
SiC_10deg,10.0,7.33,0.003661415161536172,0.8905175290864028,0.01533222306230314
SiC_15deg,15.0,7.33,0.0029154728679758966,1.022658667858205,-0.0005607194832921159
joint,,7.33,0.0032884440147560342,,
SiC_10deg,10.0,7.335,0.0035708412318458,0.8960229411579959,0.014332879285014699
SiC_15deg,15.0,7.335,0.002828512456455291,1.0266451766616773,-0.0012863591273562236
joint,,7.335,0.0031996768441505457,,
SiC_10deg,10.0,7.34,0.003478964230958681,0.9014946269932373,0.013339680719112762
SiC_15deg,15.0,7.34,0.002742906964512235,1.0305310611208067,-0.001993744675951453
joint,,7.34,0.003110935597735458,,
SiC_10deg,10.0,7.345,0.003385841765780114,0.9069257749646865,0.012353863732867315
SiC_15deg,15.0,7.345,0.0026589775598570937,1.0343110840225915,-0.0026819217799901873
joint,,7.345,0.003022409662818604,,
SiC_10deg,10.0,7.35,0.0032915384232175375,0.9123094768244726,0.011376681860146759
SiC_15deg,15.0,7.35,0.00257707918755903,1.0379800296795998,-0.0033499403552205986
joint,,7.35,0.002934308805388284,,
SiC_10deg,10.0,7.355,0.003196126595142652,0.9176387393118731,0.010409403680079227
SiC_15deg,15.0,7.355,0.0024976029269345697,1.0415327143306874,-0.0039968564919309335
joint,,7.355,0.0028468647610386108,,
SiC_10deg,10.0,7.36,0.003099687456742472,0.9229064965706523,0.009453310551753108
SiC_15deg,15.0,7.36,0.002420977790996034,1.0449639973411624,-0.004621734507374742
joint,,7.36,0.002760332623869253,,
SiC_10deg,10.0,7.365,0.0030023121345124962,0.9281056233238432,0.008509694213615276
SiC_15deg,15.0,7.365,0.002347671584820113,1.048268793150308,-0.00522364913130588
joint,,7.365,0.0026749918596663045,,
SiC_10deg,10.0,7.37,0.002904103109352834,0.933228948745631,0.007579854258674329
SiC_15deg,15.0,7.37,0.0022781903255547978,1.051442083902622,-0.00580168781292606
joint,,7.37,0.002591146717453816,,
SiC_10deg,10.0,7.375,0.002805175911819629,0.9382692709629938,0.006665095497874113
SiC_15deg,15.0,7.375,0.002213075616680879,1.054478932688366,-0.006354953135610436
joint,,7.375,0.0025091257642502543,,
SiC_10deg,10.0,7.38,0.0027056611811275585,0.943219372113629,0.005766725225104297
SiC_15deg,15.0,7.38,0.002152899289775788,1.0573744973091361,-0.006882565323998391
joint,,7.38,0.002429280235451673,,
SiC_10deg,10.0,7.385,0.0026057071776230075,0.9480720338818043,0.004886050398186903
SiC_15deg,15.0,7.385,0.0020982546201920816,1.060124044475423,-0.0073836648264660465
joint,,7.385,0.002351980898907545,,
SiC_10deg,10.0,7.39,0.0025054828607779375,0.9528200534301141,0.004024374750824428
SiC_15deg,15.0,7.39,0.0020497435431445638,1.062722964335671,-0.007857414954664937
joint,,7.39,0.0022776132019612506,,
SiC_10deg,10.0,7.395,0.0024051816717544756,0.9574562596428222,0.0031829958508968748
SiC_15deg,15.0,7.395,0.00200795960020533,1.0651667852303153,-0.00830300456073138
joint,,7.395,0.002206570635979903,,
SiC_10deg,10.0,7.4,0.002305026191230473,0.961973529595624,0.0023632021206269616
SiC_15deg,15.0,7.4,0.001973466869505681,1.0674511885598197,-0.008719650731988715
joint,,7.4,0.0021392465303680767,,
SiC_10deg,10.0,7.405,0.0022052738782912546,0.9663648051672323,0.0015662698340109527
SiC_15deg,15.0,7.405,0.0019467758595160894,1.0695720236529223,-0.009106601482470722
joint,,7.405,0.002076024868903672,,
SiC_10deg,10.0,7.41,0.0021062241312717676,0.9706231097102743,0.0007934601065098801
SiC_15deg,15.0,7.41,0.0019283181743659976,1.0715253225202663,-0.009463138420433365
joint,,7.41,0.0020172711528188827,,
SiC_10deg,10.0,7.415,0.0020082269384584604,0.9747415647024068,4.6015891354417304e-05
SiC_15deg,15.0,7.415,0.0019184224913575958,1.073307314379267,-0.009788579371165812
joint,,7.415,0.001963324714908028,,
SiC_10deg,10.0,7.42,0.0019116933892505902,0.9787134063033999,-0.0006748410040872954
SiC_15deg,15.0,7.42,0.0019172947737205878,1.0749144398385917,-0.010082280934894577
joint,,7.42,0.001914494081485589,,
SiC_10deg,10.0,7.425,0.0018171082640637513,0.9825320017499537,-0.0013679128695450182
SiC_15deg,15.0,7.425,0.001925005452332347,1.0763433646348524,-0.010343640960364942
joint,,7.425,0.0018710568581980491,,
SiC_10deg,10.0,7.43,0.0017250447595680242,0.9861908655271099,-0.002032028999664426
SiC_15deg,15.0,7.43,0.001941485476287569,1.0775909928200105,-0.010572100915778315
joint,,7.43,0.0018332651179277966,,
SiC_10deg,10.0,7.435,0.001636181044560577,0.9896836752631295,-0.002666048548865374
SiC_15deg,15.0,7.435,0.001966531803247889,1.0786544793054567,-0.010767148140142874
joint,,7.435,0.001801356423904233,,
SiC_10deg,10.0,7.44,0.0015513176437145302,0.9930042873033652,-0.0032688633252932198
SiC_15deg,15.0,7.44,0.001999821419979167,1.0795312416776122,-0.01092831795973015
joint,,7.44,0.0017755695318468485,,
SiC_10deg,10.0,7.445,0.0014713934311891687,0.9961467519277474,-0.003839400517591768
SiC_15deg,15.0,7.445,0.0020409317566754486,1.0802189712099763,-0.011055195656180933
joint,,7.445,0.0017561625939323086,,
SiC_10deg,10.0,7.45,0.001397496111757876,0.9991053281858032,-0.00437662534993663
SiC_15deg,15.0,7.45,0.0020893646853079747,1.0807156430076796,-0.01114741827484822
joint,,7.45,0.0017434303985329252,,
SiC_10deg,10.0,7.455,0.001330860472711625,1.0018744983322312,-0.004879543662443198
SiC_15deg,15.0,7.455,0.0021445712593717065,1.0810195252324444,-0.011204676264131658
joint,,7.455,0.0017377158660416658,,
SiC_10deg,10.0,7.46,0.0012728449211134591,1.0044489818548983,-0.00534720441569056
SiC_15deg,15.0,7.46,0.00220597483825762,1.0811291873682851,-0.011226714938834176
joint,,7.46,0.0017394098796855396,,
SiC_10deg,10.0,7.465,0.001224875413960702,1.006823749095157,-0.005778702119581203
SiC_15deg,15.0,7.465,0.0022729910052191,1.081043507500846,-0.011213335762868565
joint,,7.465,0.001748933209589901,,
SiC_10deg,10.0,7.47,0.0011883486678318153,1.0089940344675845,-0.006173179188081829
SiC_15deg,15.0,7.47,0.0023450434905182907,1.0807616785958647,-0.011164397448941099
joint,,7.47,0.0017666960791750531,,
SiC_10deg,10.0,7.475,0.0011644966393560931,1.0109553492921675,-0.00652982822248474
SiC_15deg,15.0,7.475,0.002421575980369607,1.0802832137744167,-0.011079816875060794
joint,,7.475,0.0017930363098628502,,
SiC_10deg,10.0,7.48,0.0011542319181212489,1.0127034942565063,-0.006847894226669093
SiC_15deg,15.0,7.48,0.0025020601518426972,1.0796079505941982,-0.010959569819839032
joint,,7.48,0.0018281460349819732,,
SiC_10deg,10.0,7.485,0.0011580120048156378,1.0142345715284753,-0.0071266767583771096
SiC_15deg,15.0,7.485,0.002586000524300363,1.0787360543567286,-0.010803691520479775
joint,,7.485,0.0018720062645580004,,
SiC_10deg,10.0,7.49,0.0011757660677246316,1.0155449965409389,-0.007365532020741888
SiC_15deg,15.0,7.49,0.0026729368023259343,1.077668020469913,-0.010612277059102587
joint,,7.49,0.001924351435025283,,
SiC_10deg,10.0,7.495,0.0012069108896028257,1.0166315094692704,-0.007563874898159573
SiC_15deg,15.0,7.495,0.002762444359419953,1.076404675903515,-0.010385481584515188
joint,,7.495,0.0019846776245113894,,
SiC_10deg,10.0,7.5,0.0012504495836799022,1.0174911864197653,-0.007721180940124861
SiC_15deg,15.0,7.5,0.0028541334263575014,1.0749471797816936,-0.010123520377750689
joint,,7.5,0.0020522915050187017,,
SiC_10deg,10.0,7.505,0.0013051176780750566,1.0181214503422877,-0.007836988295790936
SiC_15deg,15.0,7.505,0.0029476474400401786,1.073297023161638,-0.009826668770571145
joint,,7.505,0.0021263825590576175,,
SiC_10deg,10.0,7.51,0.0013695329368916557,1.01852008167393,-0.007910899600828997
SiC_15deg,15.0,7.51,0.0030426609011563127,1.071456028050435,-0.009495261926694615
joint,,7.51,0.0022060969190239844,,
SiC_10deg,10.0,7.515,0.001442317163751615,1.0186852287120947,-0.00794258381664284
SiC_15deg,15.0,7.515,0.003138876994123761,1.0694263457135231,-0.009129694495721707
joint,,7.515,0.002290597078937688,,
SiC_10deg,10.0,7.52,0.0015221774705945635,1.0186154177054068,-0.007931778020177638
SiC_15deg,15.0,7.52,0.0032360251452666433,1.067210454327467,-0.008730420149612672
joint,,7.52,0.0023791013079306035,,
SiC_10deg,10.0,7.525,0.0016079495693265842,1.0183095626395133,-0.00787828914049668
SiC_15deg,15.0,7.525,0.0033338586351842636,1.0648111560273834,-0.008297951011121935
joint,,7.525,0.002470904102255424,,
SiC_10deg,10.0,7.53,0.0016986127189391224,1.0177669746823714,-0.007781995636032213
SiC_15deg,15.0,7.53,0.0034321523368130236,1.062231573395194,-0.00783285698282915
joint,,7.53,0.002565382527876073,,
SiC_10deg,10.0,7.535,0.0017932868313292219,1.0169873712403834,-0.007642849104002203
SiC_15deg,15.0,7.535,0.0035307006189569732,1.0594751454292202,-0.00733576498436303
joint,,7.535,0.0026619937251430976,,
SiC_10deg,10.0,7.54,0.0018912201285015298,1.0159708845631221,-0.007460875810999551
SiC_15deg,15.0,7.54,0.0036293154332296945,1.0565456230285968,-0.0068073581041211695
joint,,7.54,0.002760267780865612,,
SiC_10deg,10.0,7.545,0.0019917729847975,1.0147180698207905,-0.007236178131276166
SiC_15deg,15.0,7.545,0.0037278245879052915,1.0534470640178006,-0.006248374670285828
joint,,7.545,0.0028597987863513957,,
SiC_10deg,10.0,7.55,0.0020944012667428605,1.013229912565334,-0.006968935876824095
SiC_15deg,15.0,7.55,0.0038260702030695455,1.0501838277275986,-0.005659607244282133
joint,,7.55,0.002960235734906203,,
SiC_10deg,10.0,7.555,0.0021986408713383743,1.0115078354738432,-0.006659407501101305
SiC_15deg,15.0,7.555,0.003923907336105605,1.046760569139127,-0.005041901538064719
joint,,7.555,0.0030612741037219894,,
SiC_10deg,10.0,7.56,0.0023040941726592355,1.0095537042618028,-0.006307931156215807
SiC_15deg,15.0,7.56,0.004021202763751413,1.0431822325880302,-0.0043961552548181515
joint,,7.56,0.003162648468205324,,
SiC_10deg,10.0,7.565,0.0024104185352149406,1.0073698326444862,-0.005914925581667813
SiC_15deg,15.0,7.565,0.004117833905863056,1.0394540450158607,-0.0037233168508682968
joint,,7.565,0.0032641262205389985,,
SiC_10deg,10.0,7.57,0.0025173167774980576,1.0049589862175272,-0.005480890801400656
SiC_15deg,15.0,7.57,0.004213687875995972,1.035581508746674,-0.0030243842148921507
joint,,7.57,0.0033655023267470147,,
SiC_10deg,10.0,7.575,0.0026245293537906257,1.0023243851229793,-0.005006408605016888
SiC_15deg,15.0,7.575,0.004308660644547419,1.0315703937582172,-0.0023004032589397927
joint,,7.575,0.003466594999169022,,
SiC_10deg,10.0,7.58,0.002731827992339469,0.999469705365196,-0.004492142788618314
SiC_15deg,15.0,7.58,0.004402656301199247,1.0274267294096604,-0.0015524664144017652
joint,,7.58,0.003567242146769358,,
SiC_10deg,10.0,7.585,0.0028390105397049117,0.9963990786418477,-0.003938839130868399
SiC_15deg,15.0,7.585,0.0044955864045690885,1.0231567955817258,-0.0007817110249189185
joint,,7.585,0.003667298472137,,
