dataset,material,angle_deg,kind,window,min_spacing_cm,region_min_cm,region_max_cm,n_extrema,interval_mean_um,interval_std_um,interval_count,fod_d_um,fod_r2,fod_rss
SiC_10deg,SiC,10.0,trough,101,240.0,1700.0,3000.0,5,7.619059021368101,0.07135661295949416,4,7.597784805147324,0.9999631029367126,0.00036897063287318456
SiC_10deg,SiC,10.0,peak,101,280.0,1000.0,4000.0,7,4.321979764996848,0.9054637971860207,6,3.970006438999785,0.9945782478401092,0.15180906047694448
SiC_10deg,SiC,10.0,trough,101,280.0,1000.0,4000.0,7,4.146432535844432,0.6489127222666156,6,3.9167993800341767,0.997177059448453,0.07904233544331604
SiC_10deg,SiC,10.0,peak,101,280.0,1200.0,4000.0,6,3.9272466329807165,0.22125133344195666,5,3.8537369771853496,0.9993224107038826,0.011857812682053867
SiC_10deg,SiC,10.0,trough,101,280.0,1200.0,4000.0,6,3.961303409864486,0.25196707036949273,5,3.875441127129955,0.9991276134092146,0.01526676533874417
SiC_10deg,SiC,10.0,peak,101,280.0,1500.0,3500.0,4,3.825402335184581,0.0933262151400026,3,3.8022531592335094,0.9998452693895377,0.0007736530523115734
SiC_10deg,SiC,10.0,trough,101,280.0,1500.0,3500.0,4,3.8434594936538606,0.08670667302997684,3,3.818556731874866,0.9998155514701965,0.0009222426490173896
SiC_10deg,SiC,10.0,peak,101,280.0,1700.0,3000.0,3,3.8452302141678607,0.10901944456660173,2,3.8199900137484923,0.9996821247658194,0.0006357504683612162
SiC_10deg,SiC,10.0,trough,101,280.0,1700.0,3000.0,3,3.809507272001079,0.034482605682355505,2,3.8022619850609987,0.9999673452898853,6.530942022942781e-05
SiC_10deg,SiC,10.0,peak,151,200.0,1000.0,4000.0,12,7.749529095155665,0.614645722376346,11,7.705123462442601,0.9995500466630377,0.06434332718561077
SiC_10deg,SiC,10.0,trough,151,200.0,1000.0,4000.0,11,7.497684905378189,0.6685905746567075,10,7.5825894395719375,0.9993031381830176,0.07665479986806595
SiC_10deg,SiC,10.0,peak,151,200.0,1200.0,4000.0,11,7.880721485535792,0.47564947619956616,10,7.706708089161025,0.9994156784707465,0.06427536821787684
SiC_10deg,SiC,10.0,trough,151,200.0,1200.0,4000.0,10,7.316827698606553,1.0238408047201943,9,7.45581889685988,0.9963926865882786,0.29760335646701386
SiC_10deg,SiC,10.0,peak,151,200.0,1500.0,3500.0,8,7.777932239464599,0.3240296837160961,7,7.663448282269837,0.9995893761109269,0.017246203341071558
SiC_10deg,SiC,10.0,trough,151,200.0,1500.0,3500.0,7,7.690825352098021,0.2048612621371427,6,7.620226735080882,0.9998178128009326,0.005101241573885583
SiC_10deg,SiC,10.0,peak,151,200.0,1700.0,3000.0,5,7.719579885192606,0.26886734321060113,4,7.636979662875569,0.9995900241508902,0.004099758491098003
SiC_10deg,SiC,10.0,trough,151,200.0,1700.0,3000.0,5,7.613024886935831,0.12039344610682741,4,7.574599285674256,0.9999047397213559,0.0009526027864409965
SiC_10deg,SiC,10.0,peak,151,240.0,1000.0,4000.0,11,7.216922559717448,1.0391767764545812,10,7.321568210456021,0.9941567889840676,0.6427532117525703
SiC_10deg,SiC,10.0,trough,151,240.0,1000.0,4000.0,10,7.006815050969701,1.2607491693420696,9,6.9699189087391105,0.9897959226143418,0.841836384316805
SiC_10deg,SiC,10.0,peak,151,240.0,1200.0,4000.0,10,7.303513378424455,1.0606112722615229,9,7.449474524610046,0.9957828194863404,0.3479173923769198
SiC_10deg,SiC,10.0,trough,151,240.0,1200.0,4000.0,9,6.741991961550552,1.464748309161451,8,6.88450954476266,0.9778081878394643,1.3315087296321408
SiC_10deg,SiC,10.0,peak,151,240.0,1500.0,3500.0,7,7.677413568482193,0.22752234924257592,6,7.611026332292836,0.9998362205647618,0.00458582418666768
SiC_10deg,SiC,10.0,trough,151,240.0,1500.0,3500.0,6,6.845887703506712,1.4391158274398634,5,6.936824775773354,0.9786902721228764,0.3729202378496629
SiC_10deg,SiC,10.0,peak,151,240.0,1700.0,3000.0,5,7.719579885192606,0.26886734321060113,4,7.636979662875569,0.9995900241508902,0.004099758491098003
SiC_10deg,SiC,10.0,trough,151,240.0,1700.0,3000.0,5,7.613024886935831,0.12039344610682741,4,7.574599285674256,0.9999047397213559,0.0009526027864409965
SiC_10deg,SiC,10.0,peak,151,280.0,1000.0,4000.0,7,4.355418123995314,0.9531116300737495,6,3.984380179817886,0.9942947752087558,0.15974629415483863
SiC_10deg,SiC,10.0,trough,151,280.0,1000.0,4000.0,7,4.343509934472334,0.7008304866927204,6,4.150682738558741,0.9971444394775432,0.07995569462879148
SiC_10deg,SiC,10.0,peak,151,280.0,1200.0,4000.0,6,3.9389807105235,0.22267783729784582,5,3.8648231309504553,0.9993027072787782,0.01220262262138072
SiC_10deg,SiC,10.0,trough,151,280.0,1200.0,4000.0,6,3.961434467999962,0.25988081123429024,5,3.872083602112562,0.9990619810825515,0.016415331055349317
SiC_10deg,SiC,10.0,peak,151,280.0,1500.0,3500.0,4,3.8385127324044883,0.11042544352242253,3,3.8112433245312527,0.9997919084008878,0.001040457995560727
SiC_10deg,SiC,10.0,trough,151,280.0,1500.0,3500.0,4,3.84479516457858,0.08926817949923511,3,3.8196015103196297,0.999818619800198,0.0009069009990098455
SiC_10deg,SiC,10.0,peak,151,280.0,1700.0,3000.0,3,3.85950057600894,0.1302658786029205,2,3.8285663244709327,0.9995504920259864,0.0008990159480271788
SiC_10deg,SiC,10.0,trough,151,280.0,1700.0,3000.0,3,3.8062913238356404,0.05253661813590149,2,3.7949747401488265,0.999924216867444,0.00015156626511200592
SiC_15deg,SiC,15.0,peak,61,200.0,1000.0,4000.0,12,7.73285727180195,0.8753506689781761,11,7.689387802415923,0.999602977873695,0.05677416406160832
