scenario,dataset,angle_deg,thickness_um,weighted_rmse,affine_scale,affine_offset,effective_points,point_weight_sum
frequency_downweighted,joint,,7.205,0.005218763725853741,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.21,0.0054011944163776665,0.7989094602616404,0.032076792178216934,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.21,0.0048061028133093465,0.9435205551207226,0.014780627142283564,865,415.2
frequency_downweighted,joint,,7.21,0.005167060015170458,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.215,0.005351900596495997,0.8021603169996634,0.03148777828196145,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.215,0.004746977915290972,0.9478257725427309,0.013992083350129192,865,415.2
frequency_downweighted,joint,,7.215,0.005113898230120249,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.22,0.005301176143989758,0.8054718222571177,0.030887656904064226,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.22,0.0046863436107907564,0.9521716149769605,0.01319586461343944,865,415.2
frequency_downweighted,joint,,7.22,0.005059274819452445,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.225,0.005249006792606636,0.8088429059827029,0.030276627006749962,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.225,0.004624216329620608,0.9565535207576321,0.012392808589812732,865,415.2
frequency_downweighted,joint,,7.225,0.005003187594054756,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.23,0.0051953790367630336,0.8122724063408608,0.029654904459108594,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.23,0.004560615025835178,0.9609669246681158,0.011583754393893336,865,415.2
frequency_downweighted,joint,,7.23,0.004945635819348796,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.235,0.00514028021014078,0.8157590626317615,0.029022723293543218,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.235,0.004495561322144264,0.9654072624751878,0.010769541757152085,865,415.2
frequency_downweighted,joint,,7.235,0.004886620319781494,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.24,0.005083698570504469,0.8193015080832808,0.028380336984313304,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.24,0.004429079678552895,0.9698699737121026,0.00995101050371941,865,415.2
frequency_downweighted,joint,,7.24,0.004826143596621883,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.245,0.005025623390893034,0.8228982625940275,0.027728019733961162,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.245,0.004361197588343169,0.9743505027476258,0.009129000335511145,865,415.2
frequency_downweighted,joint,,7.245,0.004764209960381611,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.25,0.004966045057347709,0.8265477255098889,0.02706606775279205,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.25,0.004291945804826084,0.9788442982093272,0.00830435091423043,865,415.2
frequency_downweighted,joint,,7.25,0.004700825679306414,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.255,0.00490495517335633,0.8302481685190911,0.02639480051612325,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.255,0.004221358602655025,0.9833468108593576,0.007477902222392724,865,415.2
frequency_downweighted,joint,,7.255,0.004635999145539423,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.26,0.004842346671222397,0.8339977287523509,0.025714561983731593,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.26,0.004149474077913804,0.9878534900491667,0.0066504951803924295,865,415.2
frequency_downweighted,joint,,7.26,0.004569741060740328,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.265,0.004778213930608792,0.837794402175344,0.0250257217658095,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.265,0.004076334491681113,0.9923597789056766,0.005822972491892536,865,415.2
frequency_downweighted,joint,,7.265,0.004502064643161837,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.27,0.004712552904563316,0.8416360373604352,0.024328676219792705,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.27,0.00400198666234054,0.9968611084248472,0.004996179685563762,865,415.2
