dataset,angle_deg,contrast_delta_n,thickness_um,affine_rmse,affine_scale,affine_offset
SiC_10deg,10.0,0.0,6.92,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,6.9399999999999995,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,6.96,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,6.98,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.0,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.0200000000000005,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.04,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.0600000000000005,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.08,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.1,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.12,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.14,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.16,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.18,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.2,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.22,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.24,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.26,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.28,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.3,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.32,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.34,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.36,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.38,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.4,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.42,0.004056916762450546,1.5019208546271414,-0.21298437906416537
