stage,candidate_id,epi_nu_p_scale,sub_nu_p_scale,epi_gamma_scale,sub_gamma_scale,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,dataset,angle_deg,best_thickness_um,best_rmse
drude_gamma,15,1.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4399999999999995,0.0019746627844059394
phonon_layer,0,1.5,1.0,2.0,0.5,0.5,0.5,0.5,0.5,SiC_10deg,10.0,7.4399999999999995,0.0012214113865161981
phonon_layer,0,1.5,1.0,2.0,0.5,0.5,0.5,0.5,0.5,SiC_15deg,15.0,7.38,0.0019355605668283764
phonon_layer,1,1.5,1.0,2.0,0.5,0.5,0.5,1.0,1.0,SiC_10deg,10.0,7.47,0.0011806684371202909
phonon_layer,1,1.5,1.0,2.0,0.5,0.5,0.5,1.0,1.0,SiC_15deg,15.0,7.4,0.001942760173301085
phonon_layer,2,1.5,1.0,2.0,0.5,0.5,0.5,1.5,1.5,SiC_10deg,10.0,7.49,0.0011782430812686921
phonon_layer,2,1.5,1.0,2.0,0.5,0.5,0.5,1.5,1.5,SiC_15deg,15.0,7.42,0.0019933569903668076
phonon_layer,3,1.5,1.0,2.0,0.5,0.5,0.5,2.0,2.0,SiC_10deg,10.0,7.51,0.001279447973602731
phonon_layer,3,1.5,1.0,2.0,0.5,0.5,0.5,2.0,2.0,SiC_15deg,15.0,7.4399999999999995,0.0021048917465289357
phonon_layer,4,1.5,1.0,2.0,0.5,1.0,1.0,0.5,0.5,SiC_10deg,10.0,7.4399999999999995,0.0012416164870736861
phonon_layer,4,1.5,1.0,2.0,0.5,1.0,1.0,0.5,0.5,SiC_15deg,15.0,7.37,0.00193383738911323
phonon_layer,5,1.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.46,0.0011863190805454726
phonon_layer,5,1.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4,0.0019276533890580669
phonon_layer,6,1.5,1.0,2.0,0.5,1.0,1.0,1.5,1.5,SiC_10deg,10.0,7.49,0.0011649446566535332
phonon_layer,6,1.5,1.0,2.0,0.5,1.0,1.0,1.5,1.5,SiC_15deg,15.0,7.42,0.001959969141107251
phonon_layer,7,1.5,1.0,2.0,0.5,1.0,1.0,2.0,2.0,SiC_10deg,10.0,7.5,0.0012286099357977517
phonon_layer,7,1.5,1.0,2.0,0.5,1.0,1.0,2.0,2.0,SiC_15deg,15.0,7.4399999999999995,0.002052853770389828
phonon_layer,8,1.5,1.0,2.0,0.5,1.5,1.5,0.5,0.5,SiC_10deg,10.0,7.43,0.0012651287580655569
phonon_layer,8,1.5,1.0,2.0,0.5,1.5,1.5,0.5,0.5,SiC_15deg,15.0,7.37,0.0019312945903145814
phonon_layer,9,1.5,1.0,2.0,0.5,1.5,1.5,1.0,1.0,SiC_10deg,10.0,7.46,0.001197664227778179
phonon_layer,9,1.5,1.0,2.0,0.5,1.5,1.5,1.0,1.0,SiC_15deg,15.0,7.4,0.0019201836410799398
phonon_layer,10,1.5,1.0,2.0,0.5,1.5,1.5,1.5,1.5,SiC_10deg,10.0,7.4799999999999995,0.0011552998244771637
phonon_layer,10,1.5,1.0,2.0,0.5,1.5,1.5,1.5,1.5,SiC_15deg,15.0,7.42,0.0019346318237366792
phonon_layer,11,1.5,1.0,2.0,0.5,1.5,1.5,2.0,2.0,SiC_10deg,10.0,7.5,0.0011866147722884486
phonon_layer,11,1.5,1.0,2.0,0.5,1.5,1.5,2.0,2.0,SiC_15deg,15.0,7.4399999999999995,0.002008466255665751
phonon_layer,12,1.5,1.0,2.0,0.5,2.0,2.0,0.5,0.5,SiC_10deg,10.0,7.43,0.0012871267699857687
phonon_layer,12,1.5,1.0,2.0,0.5,2.0,2.0,0.5,0.5,SiC_15deg,15.0,7.37,0.001935126980257859
phonon_layer,13,1.5,1.0,2.0,0.5,2.0,2.0,1.0,1.0,SiC_10deg,10.0,7.46,0.0012190877280208894
phonon_layer,13,1.5,1.0,2.0,0.5,2.0,2.0,1.0,1.0,SiC_15deg,15.0,7.39,0.001919972814549019
phonon_layer,14,1.5,1.0,2.0,0.5,2.0,2.0,1.5,1.5,SiC_10deg,10.0,7.4799999999999995,0.0011542319181212495
phonon_layer,14,1.5,1.0,2.0,0.5,2.0,2.0,1.5,1.5,SiC_15deg,15.0,7.42,0.001917294773720588
phonon_layer,15,1.5,1.0,2.0,0.5,2.0,2.0,2.0,2.0,SiC_10deg,10.0,7.5,0.0011569049830246602
phonon_layer,15,1.5,1.0,2.0,0.5,2.0,2.0,2.0,2.0,SiC_15deg,15.0,7.4399999999999995,0.001971946264526698
