dataset,angle_deg,thickness_um,affine_rmse,affine_scale,affine_offset
SiC_10deg,10.0,5.4,0.005322572339177658,0.7762344144631598,0.03591178731576993
SiC_10deg,10.0,5.42,0.005356372786005521,0.7699552057638739,0.03706447010230975
SiC_10deg,10.0,5.4399999999999995,0.005392485062526314,0.763820792698712,0.03819099708129328
SiC_10deg,10.0,5.46,0.005430262079406013,0.7578612379212543,0.03928546787537221
SiC_10deg,10.0,5.48,0.005468913953829488,0.7521205276728818,0.0403394259535582
SiC_10deg,10.0,5.5,0.0055075639285425,0.7466532483376717,0.04134249178802401
SiC_10deg,10.0,5.52,0.005545310518594191,0.7415198974852188,0.042283242191590964
SiC_10deg,10.0,5.54,0.005581286103755216,0.7367819964841205,0.04315012250465843
SiC_10deg,10.0,5.5600000000000005,0.0056147040322085465,0.7324980896069107,0.04393219379813321
SiC_10deg,10.0,5.58,0.0056448895581948134,0.7287213793057009,0.04461957853223691
SiC_10deg,10.0,5.6,0.005671293628505541,0.7254992590927436,0.04520355691031683
SiC_10deg,10.0,5.62,0.005693491785311182,0.7228744937850791,0.04567635902185835
SiC_10deg,10.0,5.640000000000001,0.005711172674884967,0.7208873868826448,0.04603077222063486
SiC_10deg,10.0,5.66,0.005724121582271032,0.7195780585802237,0.046259722498691064
SiC_10deg,10.0,5.68,0.005732204082766558,0.7189879750838419,0.046355985789590985
SiC_10deg,10.0,5.7,0.0057353535698505135,0.7191601008794075,0.04631214371121359
SiC_10deg,10.0,5.720000000000001,0.005733564491181332,0.7201374190605632,0.04612083105377914
SiC_10deg,10.0,5.74,0.005726891063102699,0.7219599796530967,0.045775247502626085
SiC_10deg,10.0,5.76,0.005715449466866041,0.7246609910360485,0.045269841849541324
SiC_10deg,10.0,5.78,0.0056994203699315136,0.7282626908950287,0.04460103670403488
SiC_10deg,10.0,5.800000000000001,0.0056790482286090144,0.732772787131364,0.043767851615558025
SiC_10deg,10.0,5.82,0.005654634244271047,0.7381821507342158,0.04277230179971967
SiC_10deg,10.0,5.84,0.00562652099624807,0.7444642027272453,0.04161949285712753
SiC_10deg,10.0,5.859999999999999,0.005595068517355012,0.7515761098819502,0.040317391095641766
SiC_10deg,10.0,5.88,0.0055606236848001365,0.7594615397727486,0.03887631509972646
SiC_10deg,10.0,5.9,0.005523486926419121,0.7680543835100512,0.037308256338660334
SiC_10deg,10.0,5.92,0.005483881924950693,0.7772826019628125,0.035626182457096645
SiC_10deg,10.0,5.9399999999999995,0.005441934723402322,0.7870712593527439,0.03384349349590246
SiC_10deg,10.0,5.96,0.005397667975589646,0.7973439326535183,0.031973778471001434
SiC_10deg,10.0,5.98,0.0053510139234035775,0.8080220415227797,0.03003095475116971
SiC_10deg,10.0,6.0,0.005301846315749634,0.8190221846057197,0.028029774107282465
SiC_10deg,10.0,6.02,0.00525002761966337,0.8302521802932561,0.02598656785085611
SiC_10deg,10.0,6.04,0.005195464445527016,0.841607032101286,0.023920008428867524
SiC_10deg,10.0,6.0600000000000005,0.00513816201095352,0.852966301584919,0.02185161686060919
SiC_10deg,10.0,6.08,0.0050782683188545655,0.864194247989465,0.01980576750729351
SiC_10deg,10.0,6.1,0.005016100717833193,0.8751435463127227,0.01780904063083362
SiC_10deg,10.0,6.12,0.004952151359067884,0.8856625096021414,0.0158889336091139
SiC_10deg,10.0,6.140000000000001,0.004887072988199322,0.8956047295791641,0.014072125177395778
SiC_10deg,10.0,6.16,0.0048216513128179015,0.9048392114142999,0.012382639554807031
SiC_10deg,10.0,6.18,0.004756773444866126,0.9132587108242984,0.010840324972468592
SiC_10deg,10.0,6.2,0.004693402393578974,0.9207842632167286,0.009460011427190976
SiC_10deg,10.0,6.220000000000001,0.004632564733977161,0.9273647932014104,0.008251550952714185
SiC_10deg,10.0,6.24,0.004575352924429609,0.9329719538064923,0.007220716119231839
SiC_10deg,10.0,6.26,0.004522936876386068,0.9375915796147734,0.006370709043333505
SiC_10deg,10.0,6.28,0.004476573469997332,0.9412139735354749,0.005703881583770268
SiC_10deg,10.0,6.300000000000001,0.004437599846959553,0.9438254589739665,0.0052232284701911776
SiC_10deg,10.0,6.32,0.004407397863843816,0.9454032002143016,0.004933292365882017
SiC_10deg,10.0,6.34,0.004387323303542705,0.9459143850508636,0.004840284317940058
SiC_10deg,10.0,6.359999999999999,0.004378603238556013,0.9453197388098739,0.00495142691667932
SiC_10deg,10.0,6.38,0.004382215867854013,0.9435802847902208,0.0052737185758605755
SiC_10deg,10.0,6.4,0.004398775718544203,0.9406655325495281,0.005812450103044507
SiC_10deg,10.0,6.42,0.004428449783398523,0.9365610307249304,0.00656984841487887
SiC_10deg,10.0,6.4399999999999995,0.004470924986299377,0.9312735164097459,0.007544167562348949
SiC_10deg,10.0,6.46,0.004525435328177051,0.9248326408309218,0.008729410275598563
SiC_10deg,10.0,6.48,0.0045908421947737236,0.9172892352767702,0.010115683528227174
SiC_10deg,10.0,6.5,0.0046657489459979275,0.9087110133462116,0.011690021829667385
SiC_10deg,10.0,6.52,0.004748625141231387,0.8991772140137453,0.013437401511759697
SiC_10deg,10.0,6.54,0.00483791765441454,0.8887738096017768,0.015341648067617659
SiC_10deg,10.0,6.5600000000000005,0.004932133569995203,0.8775905266241331,0.017386007641677446
SiC_10deg,10.0,6.58,0.005029889632957592,0.8657202017671225,0.019553286276608652
SiC_10deg,10.0,6.6,0.005129931792714293,0.8532601642942512,0.021825612008752215
SiC_10deg,10.0,6.62,0.0052311338862288375,0.8403146616574312,0.02418399786345387
SiC_10deg,10.0,6.640000000000001,0.005332486097698867,0.8269970264674629,0.02660794215158043
SiC_10deg,10.0,6.66,0.005433082089392658,0.8134303997387676,0.02907528188089038
SiC_10deg,10.0,6.68,0.005532109947619922,0.7997463173661948,0.031562426491270966
SiC_10deg,10.0,6.7,0.005628847884385434,0.7860811597206241,0.03404497404421794
SiC_10deg,10.0,6.720000000000001,0.005722662303286015,0.7725711331405757,0.0364985910922553
SiC_10deg,10.0,6.74,0.005813004156536225,0.7593469000543149,0.038899956311869884
SiC_10deg,10.0,6.76,0.005899399621766819,0.7465290938246814,0.041227546101846445
SiC_10deg,10.0,6.78,0.005981432616867361,0.7342257470535704,0.04346207746105578
SiC_10deg,10.0,6.800000000000001,0.006058718874404995,0.7225322173717242,0.0455865034960704
SiC_10deg,10.0,6.82,0.006130873518411404,0.7115336439691349,0.04758555618712735
SiC_10deg,10.0,6.84,0.006197475780225638,0.7013094405504908,0.049444926191502786
SiC_10deg,10.0,6.859999999999999,0.006258035328093991,0.6919389265072245,0.051150242269999875
SiC_10deg,10.0,6.88,0.006311964554867096,0.6835069808552846,0.05268605193272701
SiC_10deg,10.0,6.9,0.006358560151804686,0.6761085989694383,0.05403500536145555
SiC_10deg,10.0,6.92,0.006396995648436987,0.6698514310833082,0.055177408275650326
SiC_10deg,10.0,6.9399999999999995,0.006426324705251206,0.6648557401757943,0.056091244165122484
SiC_10deg,10.0,6.96,0.006445493249250709,0.6612516616706247,0.05675268563782398
